16231|Conectores|4||368
16232|Interfaz|2.0 / ||369
16232|Interfaz|Serial ||370
16233|Tipo|Plug||371
16234|Fusible Termico|Integrado||372
16234|Certificaciones|UL, CE||373
16237|NUmero de Salidas|18||374
16240|Interfaz|100 Base  /  / ||375
16240|Base|Rj 45||376
16335|Color|Blanco||378
16335|Tipo|Jacks||379
16336|Color|Acero Inoxidable||380
16073|Velocidad de red inalámbrica|300 Mbps||382
16073|Conexión a Internet|DHCP PPPoE, PPTP/L2TP||383
16073|Seguridad inalámbrica|WEP, WPA, WPA2||384
16073|Temperatura / Humedad|0 - 40 ºC / 10%-90% RH||385
16073|Dimensiones|18.2 x 12.8 x 3.5 cms||386
16073|Compatibilidad|Linux, Mac OS, Windows||387
16337|Fusible Intercambiable|Si ||388
16352|Color|Blanco||389
16352|Material|ABS||390
16355|Material|Metal||391
18028|Contactos|4||395
18028|Tipo|RJ9||396
16366|Tipo|Audifonos con Microfono||397
16366|Interfaz|3.5 mm||398
16366|Largo Cable|2 m||399
16367|Color|Negro||400
16367|Material|Metal||401
16369|Color|Negro||402
16369|Capacidad de Memoria RAM|1 GB||403
16369|Pulgadas Pantalla|7 "||404
16369|Memoria Interna|8 GB||405
16372|Interface|PCI Express||406
16372|Tipo de Antena|antena desmontable Omnidireccional||407
16372|Seguridad Inalámbrica|Compatible con 64/128 bit WEP, WPA-PSK/WPA2-PSK||408
17048|Color|NEGRO||409
17048|Longitud|0.60 M||410
16377|Color|Blanco||415
16377|Material|Metal||416
16377|Tipo|Estandar||417
17050|Color|Blanco||418
17050|Conector "A"|DVI Macho||419
16380|Terminación|Compresión de coaxial||420
17033|Color|Negro||422
17033|Longitud|2 M||423
17033|Conector A|USB macho||424
17114|Calibre|16||425
17114|Materal del conductor|Cobre||426
17114|Conductores|2||427
17114|Longitud|30.0 M||428
16390|Adaptador|DisplayPort a HDMi||429
16390|DisplayPort|Macho||430
16390|HDMi|Hermbra||431
17052|Color|Gris||432
17052|Conector A|RJ45 Hembra||433
17048|Conector|PLUG 3.1 mm MACHO||434
16393|cobre desnudoaislamiento|Aislamiento de polietileno Espumado||435
16393|Color|Blanco||436
16393|Espesor|.0057" ||437
16393|Diametro|.0145 " / ||438
16393|Chaqueta|Tipo PVC||439
17037|Numero de modulos|2||440
17037|Color|Marfil claro||441
17036|Color|Blanco||442
17036|Numero de modulos|1||443
17035|Color|Gris||444
17028|Conector A|SC dúplex||452
17028|Longitud|3 M||453
17032|Color|negro||454
17032|Longitud|3 M.||455
17032|Conector|3.5 MM||456
0044|Alfa Numerico LCD Pantalla|Si||457
0044|Rellamada Automatica|Si||458
0044|Auto Respuesta|Si||459
17025|Conector A|DB9 Hembra||468
17025|Conector B|DB9 Macho||469
17025|Longitud|1.80 M||470
0581|Cara frontal|Convex ||474
0581|Etiquetas|papel||475
0581|Iconos portuarias|identificación de la red||476
0596|Blindaje de cable|F/UTP (FTP) ||481
12673|Tamaño de búfer de paquetes:|2 MB||482
12673|Velocidad de procesamiento|Hasta 11.4 millones de PPS||483
12673|Capacidad de conmutación|16 Gbps||484
17061|Color|Azul marino||485
17061|Conector|RJ11||486
17061|Longitud|2 M||487
0635|Profundidad|35 mm||488
0635|Género|Hembra||489
0635|Longitud|23mm||490
0635|Número de vías|8||491
0635|Tipo de pantalla|FTP||492
17058|Color|GRIS||493
17058|Conector|RJ11||494
17058|Longitud|7.50 M||495
17058|Calibre|26||496
17010|Chipset|Realtek RTL8169SC||497
17010|Puertos 10/100/1000 Mbs|1||498
17055|Calibre|26||499
17061|Calibre|26||502
17008|Normas Aplicables|ANSI/TIA/EIA 568B / ||503
17008|Tensión máxima de instalación (N)|90||505
17057|Calibre|26||506
17057|Color|Negro||507
17057|Conector|RJ11||508
17008|Rango de Temperatura (°C)|Instalación 0 a 50 / Operación -20 a 60||509
17057|Longitud|3.0 M||510
17008|Peso aproximado (kg/km)|35||511
17056|Calibre|26||512
17056|Color|Blanco||513
17056|Conector|RJ11||514
17056|Longitud|2 M||515
17059|Calibre|26||516
17059|Color|Marfil||517
17059|Conector|RJ11||518
17059|Longitud|1.80 M||519
17060|Calibre|26||520
17060|Color|Negro||521
17060|Conector|RJ11||522
17060|Longitud|6.0 M||523
12673|Direcciones MAC max|8 mil||524
12673|Estándares Ethernet|IEEE 802.3i, 802.3u, 802.3ab||525
1443|Longitud del cable|1.83 Mm||526
1443|Clasificación actual|15A||527
12673|Priorización de tráfico|IEEE 802.1p||528
12673|Control de flujo|IEEE 802.3x||529
12673|Ethernet eficiente energéticamente|802.3az||530
1443|Nº de salidas|6||531
1461|Categoría de producto|Conectores modulares ||533
1461|Marca|Commscope||534
1461|Numero de posiciones|6||536
1461|Numero de Puertos|1||537
1461|Blindaje|Sin blindaje ||538
1461|Tensor Nominal|150 V||539
17026|Conector A|DB9-H||540
17026|Conector B|DB9-M||541
17026|Longitud|4.50 M||542
17024|Conector A|DB9-H||543
17024|Conector B|DB9-M||544
17024|Longitud|2 M||545
17113|Amperes de entrada|150 mA||546
17113|Amperes de salida|550 mA||547
17113|Voltage de entrada|100-240v 50-60 Hz||548
17113|Voltage de salida|5.0v||549
17062|Color|Azul marino||550
17062|Conector|RJ11||551
17062|Longitud|2 M||552
17034|Color|Gris||553
17040|Volts|125 V||554
17025|Color|Negro||556
1443|Material del cuerpo|Aluminio||557
1443|Tipo de montaje|en bastidor||558
1443|Normas|UL , cULus||559
1489|Longitud|72||560
1489|Altura (pulg. )|0,94||561
1489|Altura ( mm )|23.9||562
1489|Área Interna|in² ) (A = 1.00 in² ) / Longitud (ft . ) 6||563
1489|Ancho|1,51||564
1489|Certificado por CSA|no||565
1540|Acabado|NEGRO||566
1629|Color|Gris||567
1629|Montaje|Montaje en superficie||568
17016|Velocidad|400 MBPS||569
17016|Voltaje|30 VCD||570
17016|Amperes|1.5||571
17017|Longitud|1.80 M||572
1685|Rendimiento|300 MHz||573
1685|Categoría|Cat 6||574
1685|Velocidad de Datos|4.8 Gb /s ||575
17017|Conector A|NEMA 5, de 3 polos||576
17017|Conector B|Adaptador de corriente MAC.||577
1708|Longitud|2.1 M||579
1708|Categoría|Cat 6||580
1708|Número de conductores|8||581
1708|Material del conductor|Cobre ||582
17018|Conectores|RJ45 macho.||583
1754|Blindaje|sin blindaje||585
1754|Material de aislamiento|Poliolefina ( PO )||586
1754|Material del conductor|Cobre ||587
1932|Tipo de Producto Diseñador|muebles de la placa frontal||589
17019|Conectores|RJ45 macho.||590
17019|Color|AZUL||591
17018|Color|Blanco||592
1957|Tipo de Producto|Bloquear||593
1957|Color|Blanco||594
1957|Pares, cantidad|100||595
1957|Tipo Bloque|A||596
1957|Material de aleación|Cobre||597
17304|Color|Gris||598
17304|Conectores|RJ45 macho||599
17020|Color|Marfil||600
17020|Conectores|RJ45 Macho||601
1968|Color|Blanco||602
1968|campo Adjunto|Lug adjunta||603
1968|Calibre del conductor|trenzado 22-26 AWG||604
17021|Color|Naranja||605
17021|Conectores|RJ45 Macho||606
2098|Aplicación|Placa de interface||607
2098|Color|Almendra||612
2117|Número de espacios rack|4||613
